0 2024-12-20 16:32:56
1 2024-12-20 16:33:06 10.0
2 2024-12-20 16:33:18 12.0
3 2024-12-20 16:33:29 11.0
4 2024-12-20 16:33:41 12.0
5 2024-12-20 16:33:53 12.0
6 2024-12-20 16:34:05 12.0
7 2024-12-20 16:34:16 11.0
8 2024-12-20 16:34:29 13.0
9 2024-12-20 16:34:39 10.0
10 2024-12-20 16:34:52 13.0
11 2024-12-20 16:35:04 12.0
12 2024-12-20 16:35:15 11.0
13 2024-12-20 16:35:27 12.0
14 2024-12-20 16:35:39 12.0
15 2024-12-20 16:35:50 11.0
16 2024-12-20 16:36:02 12.0
17 2024-12-20 16:36:13 11.0
18 2024-12-20 16:36:24 11.0
19 2024-12-20 16:36:35 11.0
20 2024-12-20 16:36:47 12.0
21 2024-12-20 16:36:58 11.0
22 2024-12-20 16:37:10 12.0
23 2024-12-20 16:37:22 12.0
24 2024-12-20 16:37:35 13.0
25 2024-12-20 16:37:45 10.0
26 2024-12-20 16:37:57 12.0
27 2024-12-20 16:38:09 12.0
28 2024-12-20 16:38:21 12.0
29 2024-12-20 16:38:32 11.0
30 2024-12-20 16:38:44 12.0
31 2024-12-20 16:38:55 11.0
32 2024-12-20 16:39:06 11.0
33 2024-12-20 16:39:18 12.0
34 2024-12-20 16:39:29 11.0
35 2024-12-20 16:39:40 11.0
36 2024-12-20 16:39:52 12.0
37 2024-12-20 16:40:05 13.0
38 2024-12-20 16:40:16 11.0
39 2024-12-20 16:40:30 14.0
40 2024-12-20 16:40:41 11.0
41 2024-12-20 16:40:53 12.0
42 2024-12-20 16:41:04 11.0
43 2024-12-20 16:41:16 12.0
44 2024-12-20 16:41:26 10.0
45 2024-12-20 16:41:37 11.0
46 2024-12-20 16:41:48 11.0
47 2024-12-20 16:41:59 11.0
48 2024-12-20 16:42:10 11.0
49 2024-12-20 16:42:23 13.0
50 2024-12-20 16:42:34 11.0
51 2024-12-20 16:42:48 14.0
52 2024-12-20 16:42:59 11.0
53 2024-12-20 16:43:12 13.0
54 2024-12-20 16:43:25 13.0
55 2024-12-20 16:43:38 13.0
56 2024-12-20 16:43:49 11.0
57 2024-12-20 16:43:59 10.0
58 2024-12-20 16:44:11 12.0
59 2024-12-20 16:44:24 13.0
60 2024-12-20 16:44:35 11.0
61 2024-12-20 16:44:46 11.0
62 2024-12-20 16:44:58 12.0
63 2024-12-20 16:45:13 15.0
64 2024-12-20 16:45:25 12.0
65 2024-12-20 16:45:36 11.0
66 2024-12-20 16:45:48 12.0
67 2024-12-20 16:46:03 15.0
68 2024-12-20 16:46:13 10.0
69 2024-12-20 16:46:24 11.0
70 2024-12-20 16:46:38 14.0
71 2024-12-20 16:46:51 13.0
72 2024-12-20 16:47:03 12.0
73 2024-12-20 16:47:14 11.0
74 2024-12-20 16:47:25 11.0
75 2024-12-20 16:47:39 14.0
76 2024-12-20 16:47:50 11.0
77 2024-12-20 16:48:03 13.0
78 2024-12-20 16:48:15 12.0
79 2024-12-20 16:48:26 11.0
80 2024-12-20 16:48:37 11.0
81 2024-12-20 16:48:48 11.0
82 2024-12-20 16:48:59 11.0
83 2024-12-20 16:49:11 12.0
84 2024-12-20 16:49:22 11.0
85 2024-12-20 16:49:35 13.0
86 2024-12-20 16:49:46 11.0
87 2024-12-20 16:49:58 12.0
88 2024-12-20 16:50:12 14.0
89 2024-12-20 16:50:26 14.0
90 2024-12-20 16:50:39 13.0
91 2024-12-20 16:50:52 13.0
92 2024-12-20 16:51:03 11.0
93 2024-12-20 16:51:15 12.0
94 2024-12-20 16:51:29 14.0
95 2024-12-20 16:51:40 11.0
96 2024-12-20 16:51:51 11.0
97 2024-12-20 16:52:02 11.0
98 2024-12-20 16:52:13 11.0
99 2024-12-20 16:52:24 11.0
100 2024-12-20 16:52:35 11.0
101 2024-12-20 16:52:46 11.0
102 2024-12-20 16:52:58 12.0
103 2024-12-20 16:53:12 14.0
104 2024-12-20 16:53:23 11.0
105 2024-12-20 16:53:34 11.0
106 2024-12-20 16:53:45 11.0
107 2024-12-20 16:53:57 12.0
108 2024-12-20 16:54:09 12.0
109 2024-12-20 16:54:19 10.0
110 2024-12-20 16:54:31 12.0
111 2024-12-20 16:54:42 11.0
112 2024-12-20 16:54:55 13.0
113 2024-12-20 16:55:08 13.0
