0 2024-12-20 16:33:13
1 2024-12-20 16:33:41 28.0
2 2024-12-20 16:34:10 29.0
3 2024-12-20 16:34:37 27.0
4 2024-12-20 16:35:06 29.0
5 2024-12-20 16:35:33 27.0
6 2024-12-20 16:36:00 27.0
7 2024-12-20 16:36:27 27.0
8 2024-12-20 16:36:54 27.0
9 2024-12-20 16:37:22 28.0
10 2024-12-20 16:37:50 28.0
11 2024-12-20 16:38:18 28.0
12 2024-12-20 16:38:45 27.0
13 2024-12-20 16:39:11 26.0
14 2024-12-20 16:39:39 28.0
15 2024-12-20 16:40:06 27.0
16 2024-12-20 16:40:33 27.0
17 2024-12-20 16:41:01 28.0
18 2024-12-20 16:41:28 27.0
19 2024-12-20 16:41:55 27.0
20 2024-12-20 16:42:23 28.0
21 2024-12-20 16:42:51 28.0
22 2024-12-20 16:43:19 28.0
23 2024-12-20 16:43:48 29.0
24 2024-12-20 16:44:15 27.0
25 2024-12-20 16:44:43 28.0
26 2024-12-20 16:45:13 30.0
27 2024-12-20 16:45:43 30.0
28 2024-12-20 16:46:12 29.0
29 2024-12-20 16:46:40 28.0
30 2024-12-20 16:47:08 28.0
31 2024-12-20 16:47:38 30.0
32 2024-12-20 16:48:06 28.0
33 2024-12-20 16:48:33 27.0
34 2024-12-20 16:49:00 27.0
35 2024-12-20 16:49:27 27.0
36 2024-12-20 16:49:55 28.0
37 2024-12-20 16:50:26 31.0
38 2024-12-20 16:50:55 29.0
39 2024-12-20 16:51:25 30.0
40 2024-12-20 16:51:52 27.0
41 2024-12-20 16:52:19 27.0
42 2024-12-20 16:52:45 26.0
43 2024-12-20 16:53:16 31.0
44 2024-12-20 16:53:43 27.0
45 2024-12-20 16:54:10 27.0
46 2024-12-20 16:54:37 27.0
47 2024-12-20 16:55:05 28.0
48 2024-12-20 16:55:34 29.0
49 2024-12-20 16:56:02 28.0
50 2024-12-20 16:56:32 30.0
51 2024-12-20 16:57:00 28.0
52 2024-12-20 16:57:29 29.0
53 2024-12-20 16:57:57 28.0
54 2024-12-20 16:58:23 26.0
55 2024-12-20 16:58:51 28.0
56 2024-12-20 16:59:18 27.0
57 2024-12-20 16:59:47 29.0
58 2024-12-20 17:00:14 27.0
59 2024-12-20 17:00:41 27.0
60 2024-12-20 17:01:09 28.0
61 2024-12-20 17:01:36 27.0
62 2024-12-20 17:02:03 27.0
63 2024-12-20 17:02:33 30.0
64 2024-12-20 17:03:00 27.0
